index,label,snr_db,channel,modulation,seed
0,1,-20,awgn,qpsk,42000126
1,1,-20,awgn,16qam,42000127
2,1,-20,awgn,bpsk,42000128
3,1,-20,awgn,16qam,42000129
4,1,-20,awgn,qpsk,42000130
5,1,-20,awgn,16qam,42000131
6,1,-20,awgn,qpsk,42000132
7,1,-20,awgn,qpsk,42000133
8,1,-20,awgn,bpsk,42000134
9,1,-20,awgn,16qam,42000135
10,1,-20,awgn,qpsk,42000136
11,1,-20,awgn,bpsk,42000137
12,1,-20,awgn,qpsk,42000138
13,1,-20,awgn,bpsk,42000139
14,1,-20,awgn,bpsk,42000140
15,1,-20,awgn,bpsk,42000141
16,1,-20,awgn,qpsk,42000142
17,1,-20,awgn,16qam,42000143
18,1,-20,awgn,16qam,42000144
19,1,-20,awgn,bpsk,42000145
20,1,-20,awgn,16qam,42000146
21,1,-20,awgn,qpsk,42000147
22,1,-20,awgn,16qam,42000148
23,1,-20,awgn,qpsk,42000149
24,1,-20,awgn,16qam,42000150
25,1,-20,awgn,16qam,42000151
26,1,-20,awgn,16qam,42000152
27,1,-20,awgn,qpsk,42000153
28,1,-20,awgn,bpsk,42000154
29,1,-20,awgn,16qam,42000155
30,1,-20,awgn,qpsk,42000156
31,1,-20,awgn,qpsk,42000157
32,1,-20,awgn,qpsk,42000158
33,1,-20,awgn,16qam,42000159
34,1,-20,awgn,qpsk,42000160
35,1,-20,awgn,qpsk,42000161
36,1,-20,awgn,qpsk,42000162
37,1,-20,awgn,bpsk,42000163
38,1,-20,awgn,bpsk,42000164
39,1,-20,awgn,16qam,42000165
40,1,-20,awgn,16qam,42000166
41,1,-20,awgn,bpsk,42000167
42,1,-20,awgn,16qam,42000168
43,1,-20,awgn,qpsk,42000169
44,1,-20,awgn,bpsk,42000170
45,1,-20,awgn,16qam,42000171
46,1,-20,awgn,16qam,42000172
47,1,-20,awgn,16qam,42000173
48,1,-20,awgn,qpsk,42000174
49,1,-20,awgn,16qam,42000175
50,1,-20,awgn,bpsk,42000176
