model,training,detector,snr_db,test_channel,Pd,Pfa_achieved,threshold
SVM,awgn_only,SVM_mismatch,-20,awgn,0.23333333333333334,0.1,0.4407722328609749
SVM,awgn_only,SVM_mismatch,-20,rayleigh,0.3,0.1,0.34222238058732657
SVM,awgn_only,SVM_mismatch,-20,rician,0.1,0.1,0.4921316710748073
SVM,awgn_only,SVM_mismatch,-15,awgn,0.4,0.1,0.47679621528930494
SVM,awgn_only,SVM_mismatch,-15,rayleigh,0.36666666666666664,0.1,0.4094871513430847
SVM,awgn_only,SVM_mismatch,-15,rician,0.3,0.1,0.513042043946541
SVM,awgn_only,SVM_mismatch,-10,awgn,0.9666666666666667,0.1,0.35959496185673623
SVM,awgn_only,SVM_mismatch,-10,rayleigh,0.8,0.1,0.33361461455930685
SVM,awgn_only,SVM_mismatch,-10,rician,0.8,0.1,0.2925589650278892
SVM,awgn_only,SVM_mismatch,-5,awgn,1.0,0.1,0.2861914708473851
SVM,awgn_only,SVM_mismatch,-5,rayleigh,0.9333333333333333,0.1,0.3778515594306476
SVM,awgn_only,SVM_mismatch,-5,rician,1.0,0.1,0.4078540741762157
SVM,awgn_only,SVM_mismatch,0,awgn,1.0,0.1,0.37829888851325183
SVM,awgn_only,SVM_mismatch,0,rayleigh,1.0,0.1,0.32393503817193636
SVM,awgn_only,SVM_mismatch,0,rician,1.0,0.1,0.39704113006741387
SVM,awgn_only,SVM_mismatch,5,awgn,1.0,0.1,0.4134690683416774
SVM,awgn_only,SVM_mismatch,5,rayleigh,1.0,0.1,0.22225059450681597
SVM,awgn_only,SVM_mismatch,5,rician,1.0,0.1,0.36199727461325787
SVM,awgn_only,SVM_mismatch,10,awgn,1.0,0.1,0.5848543834612056
SVM,awgn_only,SVM_mismatch,10,rayleigh,1.0,0.1,0.38054596480221625
SVM,awgn_only,SVM_mismatch,10,rician,1.0,0.1,0.5419513333151768
SVM,matched,SVM_matched,-20,awgn,0.26666666666666666,0.1,0.43050618393613266
SVM,matched,SVM_matched,-20,rayleigh,0.3333333333333333,0.1,0.34279480580726546
SVM,matched,SVM_matched,-20,rician,0.13333333333333333,0.1,0.5026484277550846
SVM,matched,SVM_matched,-15,awgn,0.4666666666666667,0.1,0.4458283720333061
SVM,matched,SVM_matched,-15,rayleigh,0.43333333333333335,0.1,0.39861962567467374
SVM,matched,SVM_matched,-15,rician,0.3,0.1,0.5273306976811234
SVM,matched,SVM_matched,-10,awgn,0.9666666666666667,0.1,0.37215451963873347
SVM,matched,SVM_matched,-10,rayleigh,0.8333333333333334,0.1,0.3678500951118372
SVM,matched,SVM_matched,-10,rician,0.8333333333333334,0.1,0.3332381103367868
SVM,matched,SVM_matched,-5,awgn,1.0,0.1,0.30036168787388545
SVM,matched,SVM_matched,-5,rayleigh,0.9333333333333333,0.1,0.45180141542989044
SVM,matched,SVM_matched,-5,rician,1.0,0.1,0.4213022461307817
SVM,matched,SVM_matched,0,awgn,1.0,0.1,0.4663626855926953
SVM,matched,SVM_matched,0,rayleigh,1.0,0.1,0.33519366490982805
SVM,matched,SVM_matched,0,rician,1.0,0.1,0.4513652943432983
SVM,matched,SVM_matched,5,awgn,1.0,0.1,0.44026587645717297
SVM,matched,SVM_matched,5,rayleigh,1.0,0.1,0.29516369749199445
SVM,matched,SVM_matched,5,rician,1.0,0.1,0.4099723756704926
SVM,matched,SVM_matched,10,awgn,1.0,0.1,0.5141134477498037
SVM,matched,SVM_matched,10,rayleigh,1.0,0.1,0.3744783049946402
SVM,matched,SVM_matched,10,rician,1.0,0.1,0.37338858155818944
RF,awgn_only,RF_mismatch,-20,awgn,0.2,0.1,0.40443123932207037
RF,awgn_only,RF_mismatch,-20,rayleigh,0.36666666666666664,0.1,0.3179578820740988
RF,awgn_only,RF_mismatch,-20,rician,0.2,0.1,0.3979541607203519
RF,awgn_only,RF_mismatch,-15,awgn,0.4666666666666667,0.1,0.36038349669277
RF,awgn_only,RF_mismatch,-15,rayleigh,0.36666666666666664,0.1,0.35181203770619696
RF,awgn_only,RF_mismatch,-15,rician,0.36666666666666664,0.1,0.46653138615005557
RF,awgn_only,RF_mismatch,-10,awgn,1.0,0.1,0.32242273203362093
RF,awgn_only,RF_mismatch,-10,rayleigh,0.8,0.1,0.3277128154297045
RF,awgn_only,RF_mismatch,-10,rician,0.7333333333333333,0.1,0.37595215371954205
RF,awgn_only,RF_mismatch,-5,awgn,1.0,0.1,0.2997095297628801
RF,awgn_only,RF_mismatch,-5,rayleigh,0.9333333333333333,0.1,0.3902331044085873
RF,awgn_only,RF_mismatch,-5,rician,1.0,0.1,0.33021752044747055
RF,awgn_only,RF_mismatch,0,awgn,1.0,0.1,0.40177490659571324
RF,awgn_only,RF_mismatch,0,rayleigh,1.0,0.1,0.2575848321609045
RF,awgn_only,RF_mismatch,0,rician,1.0,0.1,0.37104571586919094
RF,awgn_only,RF_mismatch,5,awgn,1.0,0.1,0.39822051332871045
RF,awgn_only,RF_mismatch,5,rayleigh,1.0,0.1,0.3414394201464545
RF,awgn_only,RF_mismatch,5,rician,1.0,0.1,0.38867437405130634
RF,awgn_only,RF_mismatch,10,awgn,1.0,0.1,0.41326748773199307
RF,awgn_only,RF_mismatch,10,rayleigh,1.0,0.1,0.3053863855460269
RF,awgn_only,RF_mismatch,10,rician,1.0,0.1,0.3348896556510426
RF,matched,RF_matched,-20,awgn,0.2,0.1,0.3927603045480937
RF,matched,RF_matched,-20,rayleigh,0.26666666666666666,0.1,0.2986234660194635
RF,matched,RF_matched,-20,rician,0.2,0.1,0.3418894355432461
RF,matched,RF_matched,-15,awgn,0.5,0.1,0.3487947239096707
RF,matched,RF_matched,-15,rayleigh,0.43333333333333335,0.1,0.33954521033452517
RF,matched,RF_matched,-15,rician,0.43333333333333335,0.1,0.4256985571340626
RF,matched,RF_matched,-10,awgn,1.0,0.1,0.3120278123893799
RF,matched,RF_matched,-10,rayleigh,0.8,0.1,0.31925362131892876
RF,matched,RF_matched,-10,rician,0.7,0.1,0.39702397350391394
RF,matched,RF_matched,-5,awgn,1.0,0.1,0.2840230954439663
RF,matched,RF_matched,-5,rayleigh,0.9333333333333333,0.1,0.31304239343135093
RF,matched,RF_matched,-5,rician,1.0,0.1,0.32035048270600314
RF,matched,RF_matched,0,awgn,1.0,0.1,0.36215736848513636
RF,matched,RF_matched,0,rayleigh,1.0,0.1,0.23572616366644766
RF,matched,RF_matched,0,rician,1.0,0.1,0.33388122521500446
RF,matched,RF_matched,5,awgn,1.0,0.1,0.3815672777799457
RF,matched,RF_matched,5,rayleigh,1.0,0.1,0.3034466680946969
RF,matched,RF_matched,5,rician,1.0,0.1,0.35477946937644
RF,matched,RF_matched,10,awgn,1.0,0.1,0.3686969985116324
RF,matched,RF_matched,10,rayleigh,1.0,0.1,0.2914415625066084
RF,matched,RF_matched,10,rician,1.0,0.1,0.36992302355369394
MLP,awgn_only,MLP_mismatch,-20,awgn,0.3,0.1,0.41278943406719754
MLP,awgn_only,MLP_mismatch,-20,rayleigh,0.3,0.1,0.44335909923339145
MLP,awgn_only,MLP_mismatch,-20,rician,0.3,0.1,0.47444082197747584
MLP,awgn_only,MLP_mismatch,-15,awgn,0.4666666666666667,0.1,0.5238797927863279
MLP,awgn_only,MLP_mismatch,-15,rayleigh,0.23333333333333334,0.1,0.5324408422630685
MLP,awgn_only,MLP_mismatch,-15,rician,0.3333333333333333,0.1,0.6229498798242449
MLP,awgn_only,MLP_mismatch,-10,awgn,0.9,0.1,0.46608975050772233
MLP,awgn_only,MLP_mismatch,-10,rayleigh,0.8,0.1,0.41535415451905977
MLP,awgn_only,MLP_mismatch,-10,rician,0.8333333333333334,0.1,0.31968190044075534
MLP,awgn_only,MLP_mismatch,-5,awgn,1.0,0.1,0.23761144048497548
MLP,awgn_only,MLP_mismatch,-5,rayleigh,0.9333333333333333,0.1,0.47843832183750684
MLP,awgn_only,MLP_mismatch,-5,rician,0.9666666666666667,0.1,0.5368367493194555
MLP,awgn_only,MLP_mismatch,0,awgn,1.0,0.1,0.4797864162110218
MLP,awgn_only,MLP_mismatch,0,rayleigh,1.0,0.1,0.4620489706931127
MLP,awgn_only,MLP_mismatch,0,rician,1.0,0.1,0.3887501894572663
MLP,awgn_only,MLP_mismatch,5,awgn,1.0,0.1,0.38234202692883745
MLP,awgn_only,MLP_mismatch,5,rayleigh,1.0,0.1,0.40766627854916865
MLP,awgn_only,MLP_mismatch,5,rician,1.0,0.1,0.3883141327590525
MLP,awgn_only,MLP_mismatch,10,awgn,1.0,0.1,0.6498137356951658
MLP,awgn_only,MLP_mismatch,10,rayleigh,1.0,0.1,0.41341103531364287
MLP,awgn_only,MLP_mismatch,10,rician,1.0,0.1,0.37009781389686874
MLP,matched,MLP_matched,-20,awgn,0.23333333333333334,0.1,0.3708820119324547
MLP,matched,MLP_matched,-20,rayleigh,0.3,0.1,0.32171866444015723
MLP,matched,MLP_matched,-20,rician,0.16666666666666666,0.1,0.4495725681369328
MLP,matched,MLP_matched,-15,awgn,0.5333333333333333,0.1,0.357653730558675
MLP,matched,MLP_matched,-15,rayleigh,0.4,0.1,0.3989249093256827
MLP,matched,MLP_matched,-15,rician,0.36666666666666664,0.1,0.464581241395433
MLP,matched,MLP_matched,-10,awgn,1.0,0.1,0.3685261997514173
MLP,matched,MLP_matched,-10,rayleigh,0.8666666666666667,0.1,0.3195507573746493
MLP,matched,MLP_matched,-10,rician,0.8666666666666667,0.1,0.2676948905157216
MLP,matched,MLP_matched,-5,awgn,1.0,0.1,0.27696533307311416
MLP,matched,MLP_matched,-5,rayleigh,0.9,0.1,0.4095342683088767
MLP,matched,MLP_matched,-5,rician,1.0,0.1,0.35868861863576035
MLP,matched,MLP_matched,0,awgn,1.0,0.1,0.4098139389628306
MLP,matched,MLP_matched,0,rayleigh,1.0,0.1,0.28187632799759293
MLP,matched,MLP_matched,0,rician,1.0,0.1,0.35436074569027753
MLP,matched,MLP_matched,5,awgn,1.0,0.1,0.3766433285588185
MLP,matched,MLP_matched,5,rayleigh,1.0,0.1,0.26994740259067485
MLP,matched,MLP_matched,5,rician,1.0,0.1,0.3734524173502142
MLP,matched,MLP_matched,10,awgn,1.0,0.1,0.44655934074244175
MLP,matched,MLP_matched,10,rayleigh,1.0,0.1,0.34996324353200237
MLP,matched,MLP_matched,10,rician,1.0,0.1,0.32225926824985257
