snr_db,channel,Pd,threshold,achieved_Pfa
-20,awgn,0.195,1.0451027183689132,0.1
-20,rayleigh,0.235,1.0343527918806967,0.1
-20,rician,0.16,1.043557303176175,0.1
-15,awgn,0.51,1.0342970109637395,0.1
-15,rayleigh,0.355,1.0395170852120428,0.1
-15,rician,0.405,1.0366861946878845,0.1
-10,awgn,0.95,1.0412223263842522,0.1
-10,rayleigh,0.685,1.0417959763913887,0.1
-10,rician,0.805,1.0386061897236836,0.1
-5,awgn,1.0,1.0348076517280898,0.1
-5,rayleigh,0.885,1.0385199275347947,0.1
-5,rician,0.985,1.0417478443396448,0.1
0,awgn,1.0,1.0412694444450517,0.1
0,rayleigh,0.955,1.0387721398877194,0.1
0,rician,0.965,1.0342494612530504,0.1
5,awgn,1.0,1.0393681564350938,0.1
5,rayleigh,0.995,1.0395754247744773,0.1
5,rician,1.0,1.0434399023895493,0.1
10,awgn,1.0,1.0358156206632085,0.1
10,rayleigh,1.0,1.0347406862722497,0.1
10,rician,0.995,1.0473439604269792,0.1
