model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
SVM,FS1_time,SVM_FS1_time,-20,awgn,0.23333333333333334,0.1,0.4190126966455816
SVM,FS1_time,SVM_FS1_time,-20,rayleigh,0.26666666666666666,0.1,0.3877786331376565
SVM,FS1_time,SVM_FS1_time,-20,rician,0.26666666666666666,0.1,0.4071390188010001
SVM,FS1_time,SVM_FS1_time,-15,awgn,0.4,0.1,0.4401311462748586
SVM,FS1_time,SVM_FS1_time,-15,rayleigh,0.13333333333333333,0.1,0.4820532063796327
SVM,FS1_time,SVM_FS1_time,-15,rician,0.3,0.1,0.4785921109572243
SVM,FS1_time,SVM_FS1_time,-10,awgn,0.8333333333333334,0.1,0.5290928043426213
SVM,FS1_time,SVM_FS1_time,-10,rayleigh,0.7666666666666667,0.1,0.4447558614385149
SVM,FS1_time,SVM_FS1_time,-10,rician,0.7333333333333333,0.1,0.3818919354738
SVM,FS1_time,SVM_FS1_time,-5,awgn,1.0,0.1,0.43573898168416986
SVM,FS1_time,SVM_FS1_time,-5,rayleigh,0.8666666666666667,0.1,0.47572954635987497
SVM,FS1_time,SVM_FS1_time,-5,rician,1.0,0.1,0.5273411747291635
SVM,FS1_time,SVM_FS1_time,0,awgn,1.0,0.1,0.4340221570747676
SVM,FS1_time,SVM_FS1_time,0,rayleigh,1.0,0.1,0.3634908115942942
SVM,FS1_time,SVM_FS1_time,0,rician,1.0,0.1,0.4126288930253504
SVM,FS1_time,SVM_FS1_time,5,awgn,1.0,0.1,0.41149778698999223
SVM,FS1_time,SVM_FS1_time,5,rayleigh,1.0,0.1,0.342073102104677
SVM,FS1_time,SVM_FS1_time,5,rician,1.0,0.1,0.42919970719049394
SVM,FS1_time,SVM_FS1_time,10,awgn,1.0,0.1,0.434100588333592
SVM,FS1_time,SVM_FS1_time,10,rayleigh,1.0,0.1,0.4371578661056628
SVM,FS1_time,SVM_FS1_time,10,rician,1.0,0.1,0.44541644225480476
RF,FS1_time,RF_FS1_time,-20,awgn,0.16666666666666666,0.1,0.4662439320200728
RF,FS1_time,RF_FS1_time,-20,rayleigh,0.3,0.1,0.31594389453571126
RF,FS1_time,RF_FS1_time,-20,rician,0.2,0.1,0.4049185504734275
RF,FS1_time,RF_FS1_time,-15,awgn,0.4,0.1,0.4567828572062077
RF,FS1_time,RF_FS1_time,-15,rayleigh,0.4,0.1,0.3380810544638214
RF,FS1_time,RF_FS1_time,-15,rician,0.23333333333333334,0.1,0.466003579432435
RF,FS1_time,RF_FS1_time,-10,awgn,0.9333333333333333,0.1,0.4401416196551502
RF,FS1_time,RF_FS1_time,-10,rayleigh,0.7666666666666667,0.1,0.4098408721726492
RF,FS1_time,RF_FS1_time,-10,rician,0.8,0.1,0.3032967199123663
RF,FS1_time,RF_FS1_time,-5,awgn,1.0,0.1,0.4335715120988711
RF,FS1_time,RF_FS1_time,-5,rayleigh,0.8333333333333334,0.1,0.5569185400242186
RF,FS1_time,RF_FS1_time,-5,rician,0.9333333333333333,0.1,0.5965533869732861
RF,FS1_time,RF_FS1_time,0,awgn,1.0,0.1,0.4269508079236298
RF,FS1_time,RF_FS1_time,0,rayleigh,1.0,0.1,0.2973718864723267
RF,FS1_time,RF_FS1_time,0,rician,1.0,0.1,0.3309815757064385
RF,FS1_time,RF_FS1_time,5,awgn,1.0,0.1,0.3020206549842349
RF,FS1_time,RF_FS1_time,5,rayleigh,1.0,0.1,0.38812713378833724
RF,FS1_time,RF_FS1_time,5,rician,1.0,0.1,0.41670050157568683
RF,FS1_time,RF_FS1_time,10,awgn,1.0,0.1,0.40787204828019746
RF,FS1_time,RF_FS1_time,10,rayleigh,1.0,0.1,0.3553038144874611
RF,FS1_time,RF_FS1_time,10,rician,1.0,0.1,0.31710316942587274
MLP,FS1_time,MLP_FS1_time,-20,awgn,0.16666666666666666,0.1,0.40555245568085524
MLP,FS1_time,MLP_FS1_time,-20,rayleigh,0.3,0.1,0.33091081556962837
MLP,FS1_time,MLP_FS1_time,-20,rician,0.26666666666666666,0.1,0.3729378443149797
MLP,FS1_time,MLP_FS1_time,-15,awgn,0.4,0.1,0.39869612930815074
MLP,FS1_time,MLP_FS1_time,-15,rayleigh,0.2,0.1,0.42891910921879245
MLP,FS1_time,MLP_FS1_time,-15,rician,0.26666666666666666,0.1,0.41535445834611867
MLP,FS1_time,MLP_FS1_time,-10,awgn,0.9,0.1,0.47935828146138154
MLP,FS1_time,MLP_FS1_time,-10,rayleigh,0.7666666666666667,0.1,0.3902237649186915
MLP,FS1_time,MLP_FS1_time,-10,rician,0.7333333333333333,0.1,0.3325714909909505
MLP,FS1_time,MLP_FS1_time,-5,awgn,1.0,0.1,0.38795907189378837
MLP,FS1_time,MLP_FS1_time,-5,rayleigh,0.8666666666666667,0.1,0.43376871295138364
MLP,FS1_time,MLP_FS1_time,-5,rician,1.0,0.1,0.5062882264543956
MLP,FS1_time,MLP_FS1_time,0,awgn,1.0,0.1,0.3858934032207864
MLP,FS1_time,MLP_FS1_time,0,rayleigh,1.0,0.1,0.31313150443239934
