detector,snr_db,channel,Pd,Pfa_achieved,threshold
SVM,-20,awgn,0.26666666666666666,0.1,0.43050618393613266
SVM,-20,rayleigh,0.3333333333333333,0.1,0.34279480580726546
SVM,-20,rician,0.13333333333333333,0.1,0.5026484277550846
SVM,-15,awgn,0.4666666666666667,0.1,0.4458283720333061
SVM,-15,rayleigh,0.43333333333333335,0.1,0.39861962567467374
SVM,-15,rician,0.3,0.1,0.5273306976811234
SVM,-10,awgn,0.9666666666666667,0.1,0.37215451963873347
SVM,-10,rayleigh,0.8333333333333334,0.1,0.3678500951118372
SVM,-10,rician,0.8333333333333334,0.1,0.3332381103367868
SVM,-5,awgn,1.0,0.1,0.30036168787388545
SVM,-5,rayleigh,0.9333333333333333,0.1,0.45180141542989044
SVM,-5,rician,1.0,0.1,0.4213022461307817
SVM,0,awgn,1.0,0.1,0.4663626855926953
SVM,0,rayleigh,1.0,0.1,0.33519366490982805
SVM,0,rician,1.0,0.1,0.4513652943432983
SVM,5,awgn,1.0,0.1,0.44026587645717297
SVM,5,rayleigh,1.0,0.1,0.29516369749199445
SVM,5,rician,1.0,0.1,0.4099723756704926
SVM,10,awgn,1.0,0.1,0.5141134477498037
SVM,10,rayleigh,1.0,0.1,0.3744783049946402
SVM,10,rician,1.0,0.1,0.37338858155818944
RF,-20,awgn,0.2,0.1,0.3892959914460731
RF,-20,rayleigh,0.3333333333333333,0.1,0.28110095945321756
RF,-20,rician,0.23333333333333334,0.1,0.33165715992809225
RF,-15,awgn,0.4666666666666667,0.1,0.37145485036546183
RF,-15,rayleigh,0.43333333333333335,0.1,0.31533984991940206
RF,-15,rician,0.43333333333333335,0.1,0.4343144753016878
RF,-10,awgn,1.0,0.1,0.3022597934783611
RF,-10,rayleigh,0.8,0.1,0.3358870432414335
RF,-10,rician,0.6666666666666666,0.1,0.4059845250855448
RF,-5,awgn,1.0,0.1,0.2884589119668948
RF,-5,rayleigh,0.9333333333333333,0.1,0.304445180744805
RF,-5,rician,1.0,0.1,0.32821883927699
RF,0,awgn,1.0,0.1,0.3320977967396111
RF,0,rayleigh,1.0,0.1,0.25402699259032124
RF,0,rician,1.0,0.1,0.3219078869130291
RF,5,awgn,1.0,0.1,0.3780751576576325
RF,5,rayleigh,1.0,0.1,0.2755265753618399
RF,5,rician,1.0,0.1,0.36519499279161005
RF,10,awgn,1.0,0.1,0.3971411109286994
RF,10,rayleigh,1.0,0.1,0.30399005232386256
RF,10,rician,1.0,0.1,0.40127058806778687
MLP,-20,awgn,0.26666666666666666,0.1,0.3759764236920633
MLP,-20,rayleigh,0.3333333333333333,0.1,0.27653168680313256
MLP,-20,rician,0.26666666666666666,0.1,0.3749366410448328
MLP,-15,awgn,0.43333333333333335,0.1,0.37474757000090003
MLP,-15,rayleigh,0.4666666666666667,0.1,0.35182397377648367
MLP,-15,rician,0.43333333333333335,0.1,0.45683132551285827
MLP,-10,awgn,0.9666666666666667,0.1,0.42026896017743465
MLP,-10,rayleigh,0.8666666666666667,0.1,0.2869900513561844
MLP,-10,rician,0.9,0.1,0.23585873530986612
MLP,-5,awgn,1.0,0.1,0.22478407596637004
MLP,-5,rayleigh,0.9333333333333333,0.1,0.35848837191466515
MLP,-5,rician,1.0,0.1,0.3401070246083062
MLP,0,awgn,1.0,0.1,0.4344803320738273
MLP,0,rayleigh,1.0,0.1,0.26323056018006263
MLP,0,rician,1.0,0.1,0.36942652747857146
MLP,5,awgn,1.0,0.1,0.36314420267886877
MLP,5,rayleigh,1.0,0.1,0.2785824245257113
MLP,5,rician,1.0,0.1,0.38279692776648916
MLP,10,awgn,1.0,0.1,0.4136355739748483
MLP,10,rayleigh,1.0,0.1,0.31144619822289804
MLP,10,rician,1.0,0.1,0.3649624262665698
Energy,-20,awgn,0.16666666666666666,0.1,1.0416308922163813
Energy,-20,rayleigh,0.3,0.1,1.0269041880090781
Energy,-20,rician,0.23333333333333334,0.1,1.0360766880122791
Energy,-15,awgn,0.36666666666666664,0.1,1.0351595149238992
Energy,-15,rayleigh,0.23333333333333334,0.1,1.0407897273332973
Energy,-15,rician,0.26666666666666666,0.1,1.042064682977213
Energy,-10,awgn,0.9666666666666667,0.1,1.0428919667064445
Energy,-10,rayleigh,0.7666666666666667,0.1,1.0427731126042405
Energy,-10,rician,0.7333333333333333,0.1,1.0290433991473373
Energy,-5,awgn,1.0,0.1,1.0390585485350623
Energy,-5,rayleigh,0.8666666666666667,0.1,1.0402705609786964
Energy,-5,rician,1.0,0.1,1.049098630353402
Energy,0,awgn,1.0,0.1,1.0410552037275687
Energy,0,rayleigh,1.0,0.1,1.0251486499799398
Energy,0,rician,1.0,0.1,1.0421489050207946
Energy,5,awgn,1.0,0.1,1.0358501319541518
Energy,5,rayleigh,1.0,0.1,1.0242738775376696
Energy,5,rician,1.0,0.1,1.0390239402465882
Energy,10,awgn,1.0,0.1,1.0351945279992174
Energy,10,rayleigh,1.0,0.1,1.0347524309070526
Energy,10,rician,1.0,0.1,1.029149022930495
