model,training,snr_db,channel,threshold,n_h0,n_h1_all,n_h1_16qam,n_h1_fsk,Pd_all,Pd_16qam_only,Pd_fsk_only
LOGREG,matched,-20,awgn,0.4151404806575801,30,30,6,7,0.16666666666666666,0.16666666666666666,0.0
LOGREG,matched,-20,rayleigh,0.4168222339132912,30,30,9,7,0.3,0.3333333333333333,0.42857142857142855
LOGREG,matched,-20,rician,0.4266073406444981,30,30,13,1,0.26666666666666666,0.5384615384615384,0.0
LOGREG,matched,-15,awgn,0.41370891375045926,30,30,4,11,0.5333333333333333,0.75,0.36363636363636365
LOGREG,matched,-15,rayleigh,0.36410191542840853,30,30,8,8,0.5666666666666667,0.375,0.75
LOGREG,matched,-15,rician,0.45833715714238504,30,30,5,11,0.4,0.6,0.36363636363636365
LOGREG,matched,-10,awgn,0.3978370720795642,30,30,5,7,1.0,1.0,1.0
LOGREG,matched,-10,rayleigh,0.3540428510025519,30,30,10,6,0.7333333333333333,0.8,0.6666666666666666
LOGREG,matched,-10,rician,0.34618588890875823,30,30,12,9,0.9,0.9166666666666666,0.7777777777777778
LOGREG,matched,-5,awgn,0.26991229907257364,30,30,7,4,1.0,1.0,1.0
LOGREG,matched,-5,rayleigh,0.39792030798763955,30,30,7,7,0.9,0.8571428571428571,0.8571428571428571
LOGREG,matched,-5,rician,0.43986521247487254,30,30,6,8,1.0,1.0,1.0
LOGREG,matched,0,awgn,0.4659793653549699,30,30,5,7,1.0,1.0,1.0
LOGREG,matched,0,rayleigh,0.2763946148178628,30,30,5,10,0.9666666666666667,1.0,0.9
LOGREG,matched,0,rician,0.34911543914654447,30,30,7,6,1.0,1.0,1.0
LOGREG,matched,5,awgn,0.4722064991179355,30,30,6,10,1.0,1.0,1.0
LOGREG,matched,5,rayleigh,0.33370523292187854,30,30,4,12,1.0,1.0,1.0
LOGREG,matched,5,rician,0.3559713580081008,30,30,9,13,1.0,1.0,1.0
LOGREG,matched,10,awgn,0.4003626103515991,30,30,12,6,1.0,1.0,1.0
LOGREG,matched,10,rayleigh,0.38074402642806354,30,30,13,6,1.0,1.0,1.0
LOGREG,matched,10,rician,0.4145341598861002,30,30,7,9,1.0,1.0,1.0
DTREE,matched,-20,awgn,0.37185581303228393,30,30,6,7,0.13333333333333333,0.16666666666666666,0.14285714285714285
DTREE,matched,-20,rayleigh,0.1800915209094892,30,30,9,7,0.36666666666666664,0.3333333333333333,0.42857142857142855
DTREE,matched,-20,rician,0.3235000927914317,30,30,13,1,0.16666666666666666,0.38461538461538464,0.0
DTREE,matched,-15,awgn,0.2992125984251969,30,30,4,11,0.4,0.75,0.2727272727272727
DTREE,matched,-15,rayleigh,0.3045854562297361,30,30,8,8,0.36666666666666664,0.25,0.375
DTREE,matched,-15,rician,0.5420875420875421,30,30,5,11,0.36666666666666664,0.6,0.36363636363636365
DTREE,matched,-10,awgn,0.2992125984251969,30,30,5,7,1.0,1.0,1.0
DTREE,matched,-10,rayleigh,0.2992125984251969,30,30,10,6,0.6666666666666666,0.6,0.5
DTREE,matched,-10,rician,0.29095354523227385,30,30,12,9,0.8666666666666667,0.9166666666666666,0.7777777777777778
DTREE,matched,-5,awgn,0.2992125984251969,30,30,7,4,1.0,1.0,1.0
DTREE,matched,-5,rayleigh,0.5420875420875421,30,30,7,7,0.8333333333333334,0.8571428571428571,0.7142857142857143
DTREE,matched,-5,rician,0.2992125984251969,30,30,6,8,1.0,1.0,1.0
DTREE,matched,0,awgn,0.2992125984251969,30,30,5,7,1.0,1.0,1.0
DTREE,matched,0,rayleigh,0.1792656155901969,30,30,5,10,1.0,1.0,1.0
DTREE,matched,0,rician,0.2992125984251969,30,30,7,6,1.0,1.0,1.0
DTREE,matched,5,awgn,0.3235000927914317,30,30,6,10,1.0,1.0,1.0
DTREE,matched,5,rayleigh,0.2917794505515662,30,30,4,12,1.0,1.0,1.0
DTREE,matched,5,rician,0.3045854562297361,30,30,9,13,1.0,1.0,1.0
DTREE,matched,10,awgn,0.2992125984251969,30,30,12,6,1.0,1.0,1.0
DTREE,matched,10,rayleigh,0.2992125984251969,30,30,13,6,1.0,1.0,1.0
DTREE,matched,10,rician,0.2917794505515662,30,30,7,9,1.0,1.0,1.0
